zone_id,score_final,similarity,greenery_mean,luminance_mean,charm_mean,explain,weighted_explain,sim_weight,greenery_weight,luminance_weight,charm_weight
grenoble,0.9246677727064969,0.976702,4.013649940490723,51.91498947143555,0.208263486623764,🌿 nettement plus verdure (+2.88) ; ☀️ beaucoup plus luminosité (+6.64) ; ✨ quasi moins charme (-0.02),🎯 Re-rank pondéré (similarité IA 0.977). 🌿 verdure: +1.18 vs ref 👉 Favorisé car priorité = 🌿 verdure (poids 0.41).,0.2727272727272727,0.40909090909090906,0.22727272727272727,0.09090909090909091
nice,0.661027094275119,0.97142303,3.3527541160583496,49.15105056762695,0.1600734740495681,🌿 nettement plus verdure (+2.22) ; ☀️ nettement plus luminosité (+3.87) ; ✨ quasi moins charme (-0.06),🎯 Re-rank pondéré (similarité IA 0.971). 🌿 verdure: +0.52 vs ref 👉 Favorisé car priorité = 🌿 verdure (poids 0.41).,0.2727272727272727,0.40909090909090906,0.22727272727272727,0.09090909090909091
paris_zone_01,0.6258055111788622,0.9789402,2.836216688156128,43.88039016723633,0.1731014996767044,🌿 un peu plus verdure (+1.70) ; ☀️ un peu moins luminosité (-1.40) ; ✨ quasi moins charme (-0.05),🎯 Re-rank pondéré (similarité IA 0.979). 🌿 verdure: +0.00 vs ref 👉 Favorisé car priorité = 🌿 verdure (poids 0.41).,0.2727272727272727,0.40909090909090906,0.22727272727272727,0.09090909090909091
nantes,0.6125297326743898,0.9730846,2.976411819458008,47.76274490356445,0.1554766148328781,🌿 un peu plus verdure (+1.84) ; ☀️ nettement plus luminosité (+2.48) ; ✨ quasi moins charme (-0.07),🎯 Re-rank pondéré (similarité IA 0.973). 🌿 verdure: +0.14 vs ref 👉 Favorisé car priorité = 🌿 verdure (poids 0.41).,0.2727272727272727,0.40909090909090906,0.22727272727272727,0.09090909090909091
pau,0.5581581096792089,0.97494537,1.0784261226654053,52.12835693359375,0.1740831136703491,🌿 quasi moins verdure (-0.05) ; ☀️ beaucoup plus luminosité (+6.85) ; ✨ quasi moins charme (-0.05),🎯 Re-rank pondéré (similarité IA 0.975). 🌿 verdure: -1.76 vs ref 👉 Favorisé car priorité = 🌿 verdure (poids 0.41).,0.2727272727272727,0.40909090909090906,0.22727272727272727,0.09090909090909091
strasbourg,0.44644966843636347,0.9667131,2.3188376426696777,47.07834243774414,0.1662602573633194,🌿 un peu plus verdure (+1.19) ; ☀️ un peu plus luminosité (+1.80) ; ✨ quasi moins charme (-0.06),🎯 Re-rank pondéré (similarité IA 0.967). 🌿 verdure: -0.52 vs ref 👉 Favorisé car priorité = 🌿 verdure (poids 0.41).,0.2727272727272727,0.40909090909090906,0.22727272727272727,0.09090909090909091
toulouse,0.33883258283378453,0.96311414,0.0620039626955986,52.96136093139648,0.2139990180730819,🌿 un peu moins verdure (-1.07) ; ☀️ beaucoup plus luminosité (+7.68) ; ✨ quasi moins charme (-0.01),🎯 Re-rank pondéré (similarité IA 0.963). 🌿 verdure: -2.77 vs ref 👉 Favorisé car priorité = 🌿 verdure (poids 0.41).,0.2727272727272727,0.40909090909090906,0.22727272727272727,0.09090909090909091
paris_zone_03,0.29684047668179747,0.9716136,0.4875061810016632,42.16334915161133,0.2246521860361099,🌿 un peu moins verdure (-0.64) ; ☀️ nettement moins luminosité (-3.12) ; ✨ quasi plus charme (+0.00),🎯 Re-rank pondéré (similarité IA 0.972). 🌿 verdure: -2.35 vs ref 👉 Favorisé car priorité = 🌿 verdure (poids 0.41).,0.2727272727272727,0.40909090909090906,0.22727272727272727,0.09090909090909091
bordeaux,0.21845329090178875,0.96522593,0.8235455751419067,43.06953430175781,0.1946430057287216,🌿 quasi moins verdure (-0.31) ; ☀️ nettement moins luminosité (-2.21) ; ✨ quasi moins charme (-0.03),🎯 Re-rank pondéré (similarité IA 0.965). 🌿 verdure: -2.01 vs ref 👉 Favorisé car priorité = 🌿 verdure (poids 0.41).,0.2727272727272727,0.40909090909090906,0.22727272727272727,0.09090909090909091
marseille,0.19738647959112052,0.96091366,0.8584228157997131,47.62419128417969,0.148037314414978,🌿 quasi moins verdure (-0.27) ; ☀️ nettement plus luminosité (+2.34) ; ✨ quasi moins charme (-0.08),🎯 Re-rank pondéré (similarité IA 0.961). 🌿 verdure: -1.98 vs ref 👉 Favorisé car priorité = 🌿 verdure (poids 0.41).,0.2727272727272727,0.40909090909090906,0.22727272727272727,0.09090909090909091
