zone_id,score_final,similarity,greenery_mean,luminance_mean,charm_mean,explain,weighted_explain,sim_weight,greenery_weight,luminance_weight,charm_weight
grenoble,0.8901827995679514,0.976702,4.013649940490723,51.91498947143555,0.208263486623764,🌿 nettement plus verdure (+2.88) ; ☀️ beaucoup plus luminosité (+6.64) ; ✨ quasi moins charme (-0.02),🎯 Re-rank pondéré : priorité 🧠 similarité IA → similarité IA 0.977.,0.4,0.1,0.4,0.1
pau,0.7402162560710281,0.97494537,1.0784261226654053,52.12835693359375,0.1740831136703491,🌿 quasi moins verdure (-0.05) ; ☀️ beaucoup plus luminosité (+6.85) ; ✨ quasi moins charme (-0.05),🎯 Re-rank pondéré : priorité 🧠 similarité IA → similarité IA 0.975.,0.4,0.1,0.4,0.1
nice,0.5910345091609496,0.97142303,3.3527541160583496,49.15105056762695,0.1600734740495681,🌿 nettement plus verdure (+2.22) ; ☀️ nettement plus luminosité (+3.87) ; ✨ quasi moins charme (-0.06),🎯 Re-rank pondéré : priorité 🧠 similarité IA → similarité IA 0.971.,0.4,0.1,0.4,0.1
paris_zone_01,0.5665243175789892,0.9789402,2.836216688156128,43.88039016723633,0.1731014996767044,🌿 un peu plus verdure (+1.70) ; ☀️ un peu moins luminosité (-1.40) ; ✨ quasi moins charme (-0.05),🎯 Re-rank pondéré : priorité 🧠 similarité IA → similarité IA 0.979.,0.4,0.1,0.4,0.1
nantes,0.5609520877379822,0.9730846,2.976411819458008,47.76274490356445,0.1554766148328781,🌿 un peu plus verdure (+1.84) ; ☀️ nettement plus luminosité (+2.48) ; ✨ quasi moins charme (-0.07),🎯 Re-rank pondéré : priorité 🧠 similarité IA → similarité IA 0.973.,0.4,0.1,0.4,0.1
toulouse,0.5349227316241596,0.96311414,0.0620039626955986,52.96136093139648,0.2139990180730819,🌿 un peu moins verdure (-1.07) ; ☀️ beaucoup plus luminosité (+7.68) ; ✨ quasi moins charme (-0.01),🎯 Re-rank pondéré : priorité 🧠 similarité IA → similarité IA 0.963.,0.4,0.1,0.4,0.1
strasbourg,0.39165336595239947,0.9667131,2.3188376426696777,47.07834243774414,0.1662602573633194,🌿 un peu plus verdure (+1.19) ; ☀️ un peu plus luminosité (+1.80) ; ✨ quasi moins charme (-0.06),🎯 Re-rank pondéré : priorité 🧠 similarité IA → similarité IA 0.967.,0.4,0.1,0.4,0.1
paris_zone_03,0.34819409356273523,0.9716136,0.4875061810016632,42.16334915161133,0.2246521860361099,🌿 un peu moins verdure (-0.64) ; ☀️ nettement moins luminosité (-3.12) ; ✨ quasi plus charme (+0.00),🎯 Re-rank pondéré : priorité 🧠 similarité IA → similarité IA 0.972.,0.4,0.1,0.4,0.1
marseille,0.22244475723640605,0.96091366,0.8584228157997131,47.62419128417969,0.148037314414978,🌿 quasi moins verdure (-0.27) ; ☀️ nettement plus luminosité (+2.34) ; ✨ quasi moins charme (-0.08),🎯 Re-rank pondéré : priorité 🧠 similarité IA → similarité IA 0.961.,0.4,0.1,0.4,0.1
bordeaux,0.2093583625112717,0.96522593,0.8235455751419067,43.06953430175781,0.1946430057287216,🌿 quasi moins verdure (-0.31) ; ☀️ nettement moins luminosité (-2.21) ; ✨ quasi moins charme (-0.03),🎯 Re-rank pondéré : priorité 🧠 similarité IA → similarité IA 0.965.,0.4,0.1,0.4,0.1
